       store_SSE_16B; 0; 128.000, 0.125, 0.000; 4330.591; 4482.854; 4402.400; 4404.878;   0.829 %; 27.728
       store_SSE_32B; 0; 128.000, 0.125, 0.000; 4156.980; 4408.076; 4285.655; 4265.061;   1.491 %; 28.483
       store_SSE_64B; 0; 128.000, 0.125, 0.000; 4168.959; 4294.992; 4213.031; 4207.574;   0.706 %; 28.974
      store_SSE_128B; 1; 128.000, 0.125, 0.000; 4148.676; 4385.429; 4269.391; 4270.577;   1.138 %; 28.592
       store_AVX_32B; 0; 128.000, 0.125, 0.000; 2680.997; 2844.971; 2723.465; 2708.541;   1.542 %; 44.822
       store_AVX_64B; 0; 128.000, 0.125, 0.000; 2665.866; 4169.644; 2854.581; 2708.057;  13.141 %; 42.763
      store_AVX_128B; 0; 128.000, 0.125, 0.000; 2658.290; 2757.349; 2692.094; 2689.131;   0.760 %; 45.344
      store_AVX_256B; 0; 128.000, 0.125, 0.000; 2665.517; 2758.723; 2695.494; 2694.944;   0.674 %; 45.287
