       store_SSE_16B; 1; 1024.000, 1.000, 0.001; 36637.453; 37719.505; 36961.238; 36893.833;   0.616 %; 26.421
       store_SSE_32B; 3; 1024.000, 1.000, 0.001; 36746.431; 37977.166; 37419.055; 37465.203;   0.825 %; 26.098
       store_SSE_64B; 4; 1024.000, 1.000, 0.001; 36738.638; 40897.087; 37310.735; 37213.486;   2.013 %; 26.174
      store_SSE_128B; 5; 1024.000, 1.000, 0.001; 36619.929; 45185.459; 37096.197; 36863.117;   3.930 %; 26.325
       store_AVX_32B; 1; 1024.000, 1.000, 0.001; 28157.322; 32081.859; 29679.990; 29639.160;   2.262 %; 32.903
       store_AVX_64B; 2; 1024.000, 1.000, 0.001; 29492.524; 39726.361; 30089.043; 29707.441;   5.980 %; 32.456
      store_AVX_128B; 3; 1024.000, 1.000, 0.001; 29563.737; 29944.755; 29692.894; 29693.651;   0.247 %; 32.889
      store_AVX_256B; 4; 1024.000, 1.000, 0.001; 29591.689; 31449.385; 30058.614; 29932.623;   1.511 %; 32.489
