     dotprod_SSE_16B; 22; 4224.000, 4.125, 0.004; 407361.266; 411758.131; 408948.672; 408699.260;   0.239 %; 19.701; 2.644
     dotprod_SSE_32B; 38; 4224.000, 4.125, 0.004; 331965.798; 335498.244; 334049.636; 334357.312;   0.312 %; 24.118; 6.474
     dotprod_SSE_64B; 54; 4224.000, 4.125, 0.004; 342524.441; 347385.467; 343899.108; 343889.932;   0.256 %; 23.427; 12.577
     dotprod_AVX_32B; 15; 4224.000, 4.125, 0.004; 294373.217; 326611.482; 301765.315; 299475.274;   2.286 %; 26.698; 3.583
     dotprod_AVX_64B; 29; 4224.000, 4.125, 0.004; 297158.645; 310063.092; 302714.822; 302466.659;   1.040 %; 26.615; 7.144
    dotprod_AVX_128B; 44; 4224.000, 4.125, 0.004; 296219.071; 306042.590; 300800.790; 301115.057;   0.788 %; 26.784; 14.380
    dotprod_AVX_256B; 58; 4224.000, 4.125, 0.004; 300659.906; 308673.013; 305064.923; 305010.517;   0.719 %; 26.410; 28.357
