     ntstore_SSE_16B; 5; 4224.000, 4.125, 0.004; 139792.971; 142424.304; 140474.852; 140395.156;   0.309 %; 28.676
     ntstore_SSE_32B; 10; 4224.000, 4.125, 0.004; 140178.339; 143312.556; 141083.953; 140894.532;   0.551 %; 28.553
     ntstore_SSE_64B; 16; 4224.000, 4.125, 0.004; 140096.642; 142776.157; 140847.235; 140825.402;   0.343 %; 28.601
    ntstore_SSE_128B; 21; 4224.000, 4.125, 0.004; 140261.449; 143012.956; 140801.879; 140761.038;   0.335 %; 28.610
     ntstore_AVX_32B; 6; 4224.000, 4.125, 0.004; 137200.437; 141171.232; 138290.561; 137843.312;   0.766 %; 29.129
     ntstore_AVX_64B; 11; 4224.000, 4.125, 0.004; 137238.530; 139989.397; 137796.937; 137807.588;   0.340 %; 29.234
    ntstore_AVX_128B; 16; 4224.000, 4.125, 0.004; 137368.306; 139645.108; 137785.179; 137717.840;   0.298 %; 29.236
    ntstore_AVX_256B; 21; 4224.000, 4.125, 0.004; 137177.453; 145834.737; 138539.239; 137836.509;   1.399 %; 29.077
