(s, ns, GiB/s):
  0, 0.000, 21371.934, 2.856
  1, 0.000, 21418.548, 2.850
  2, 0.000, 21417.261, 2.850
  3, 0.000, 21279.780, 2.868
  4, 0.000, 21248.592, 2.872
  5, 0.000, 21083.374, 2.895
  6, 0.000, 21114.912, 2.891
  7, 0.000, 21220.797, 2.876
  8, 0.000, 21231.547, 2.875
  9, 0.000, 21269.883, 2.870
 10, 0.000, 21237.855, 2.874
 11, 0.000, 21192.616, 2.880
 12, 0.000, 22391.926, 2.726
 13, 0.000, 21257.240, 2.871
 14, 0.000, 21494.589, 2.840
 15, 0.000, 21143.478, 2.887
 16, 0.000, 21045.308, 2.900
 17, 0.000, 21150.407, 2.886
 18, 0.000, 21082.767, 2.895
 19, 0.000, 21220.607, 2.876
 20, 0.000, 21129.001, 2.889
 21, 0.000, 21081.661, 2.895
 22, 0.000, 21230.753, 2.875
 23, 0.000, 21278.694, 2.868
 24, 0.000, 21270.488, 2.869
 25, 0.000, 21233.711, 2.874
 26, 0.000, 21233.165, 2.875
 27, 0.000, 21233.159, 2.875
 28, 0.000, 21256.771, 2.871
 29, 0.000, 21233.521, 2.874
 30, 0.000, 21151.588, 2.886
 31, 0.000, 21220.435, 2.876
 32, 0.000, 21254.832, 2.872

21045.308, 22391.926, 21263.067, 225.675, 1.061 %

Delta(min, max)   = 1346.618
Delta(amean, min) = 217.759
Delta(amean, max) = 1128.859


(cycles, CPIt, CPI):
  0, 55134.148, 6.730, 1.346
  1, 55020.690, 6.716, 1.343
  2, 55156.212, 6.733, 1.347
  3, 54946.246, 6.707, 1.341
  4, 54649.448, 6.671, 1.334
  5, 54655.782, 6.672, 1.334
  6, 55038.882, 6.719, 1.344
  7, 55100.626, 6.726, 1.345
  8, 55054.764, 6.721, 1.344
  9, 54552.116, 6.659, 1.332
 10, 54919.806, 6.704, 1.341
 11, 55040.684, 6.719, 1.344
 12, 55103.934, 6.727, 1.345
 13, 55050.300, 6.720, 1.344
 14, 55135.134, 6.730, 1.346
 15, 54854.666, 6.696, 1.339
 16, 54642.230, 6.670, 1.334
 17, 55131.598, 6.730, 1.346
 18, 55006.376, 6.715, 1.343
 19, 54825.936, 6.693, 1.339
 20, 54557.228, 6.660, 1.332
 21, 55166.884, 6.734, 1.347
 22, 55034.388, 6.718, 1.344
 23, 55005.856, 6.715, 1.343
 24, 55196.096, 6.738, 1.348
 25, 54676.288, 6.674, 1.335
 26, 54824.762, 6.692, 1.338
 27, 55719.338, 6.802, 1.360
 28, 55592.520, 6.786, 1.357
 29, 54551.998, 6.659, 1.332
 30, 55133.212, 6.730, 1.346
 31, 55005.902, 6.715, 1.343
 32, 55007.644, 6.715, 1.343

54551.998, 55719.338, 54984.597, 263.219, 0.479 %

Delta(min, max)   = 1167.340
Delta(amean, min) = 432.599
Delta(amean, max) = 734.741
