        copy_SSE_16B; 1; 640.000, 0.625, 0.001; 27948.197; 33050.662; 29045.175; 28538.925;   3.972 %; 42.028
        copy_SSE_32B; 2; 640.000, 0.625, 0.001; 27462.608; 29361.283; 27915.546; 27920.210;   1.211 %; 43.728
        copy_SSE_64B; 3; 640.000, 0.625, 0.001; 27471.393; 28067.465; 27871.055; 27920.594;   0.521 %; 43.798
       copy_SSE_128B; 4; 640.000, 0.625, 0.001; 27458.572; 27909.564; 27680.100; 27705.541;   0.413 %; 44.100
        copy_AVX_32B; 1; 640.000, 0.625, 0.001; 26705.694; 27379.079; 26961.298; 26971.295;   0.625 %; 45.276
        copy_AVX_64B; 2; 640.000, 0.625, 0.001; 26730.132; 28107.115; 27053.751; 27015.778;   0.960 %; 45.121
       copy_AVX_128B; 3; 640.000, 0.625, 0.001; 26633.623; 27298.973; 26832.407; 26827.646;   0.467 %; 45.494
       copy_AVX_256B; 4; 640.000, 0.625, 0.001; 26610.736; 27081.480; 26827.866; 26846.817;   0.419 %; 45.501
