        copy_SSE_16B; 18; 4224.000, 4.125, 0.004; 349316.315; 357629.324; 354562.103; 354633.240;   0.566 %; 22.723
        copy_SSE_32B; 36; 4224.000, 4.125, 0.004; 354984.334; 360988.873; 357868.094; 358040.964;   0.392 %; 22.513
        copy_SSE_64B; 53; 4224.000, 4.125, 0.004; 345422.407; 360112.925; 352603.482; 352205.939;   0.914 %; 22.849
       copy_SSE_128B; 70; 4224.000, 4.125, 0.004; 348374.881; 352404.408; 350267.620; 350228.335;   0.319 %; 23.001
        copy_AVX_32B; 19; 4224.000, 4.125, 0.004; 352879.370; 433261.812; 366825.104; 365879.424;   3.626 %; 21.963
        copy_AVX_64B; 39; 4224.000, 4.125, 0.004; 365241.198; 378714.942; 373662.183; 374189.580;   0.753 %; 21.561
       copy_AVX_128B; 58; 4224.000, 4.125, 0.004; 370581.913; 378522.925; 373286.399; 373030.645;   0.567 %; 21.583
       copy_AVX_256B; 78; 4224.000, 4.125, 0.004; 366101.948; 379316.976; 370571.513; 370385.678;   0.807 %; 21.741
