       reduc_SSE_16B; 1; 640.000, 0.625, 0.001; 46980.831; 48189.831; 47334.616; 47318.757;   0.556 %; 12.894; 1.731
       reduc_SSE_32B; 2; 640.000, 0.625, 0.001; 23486.194; 23762.245; 23654.881; 23698.712;   0.360 %; 25.802; 6.926
       reduc_SSE_64B; 3; 640.000, 0.625, 0.001; 15001.774; 16029.007; 15151.871; 15132.817;   1.254 %; 40.282; 21.626
      reduc_SSE_128B; 3; 640.000, 0.625, 0.001; 14928.376; 15356.147; 15125.221; 15078.648;   0.905 %; 40.353; 43.329
       reduc_AVX_32B; 1; 640.000, 0.625, 0.001; 23469.995; 24099.938; 23673.759; 23688.438;   0.462 %; 25.782; 3.460
       reduc_AVX_64B; 1; 640.000, 0.625, 0.001; 11822.265; 12765.989; 11972.275; 11951.757;   1.353 %; 50.980; 13.685
      reduc_AVX_128B; 2; 640.000, 0.625, 0.001; 11150.052; 11395.698; 11221.865; 11216.354;   0.497 %; 54.389; 29.200
      reduc_AVX_256B; 2; 640.000, 0.625, 0.001; 11161.503; 11348.077; 11259.635; 11274.102;   0.344 %; 54.207; 58.204
