(s, ns, GiB/s):
  0,                0.000,             1581.337,     38.597
  1,                0.000,             1471.191,     41.487
  2,                0.000,             1459.088,     41.831
  3,                0.000,             1542.686,     39.564
  4,                0.000,             1496.151,     40.795
  5,                0.000,             1497.411,     40.760
  6,                0.000,             1555.071,     39.249
  7,                0.000,             1490.562,     40.948
  8,                0.000,             1577.401,     38.693
  9,                0.000,             1448.879,     42.126
 10,                0.000,             1449.263,     42.115
 11,                0.000,             1534.291,     39.781
 12,                0.000,             1490.622,     40.946
 13,                0.000,             1491.346,     40.926
 14,                0.000,             1550.658,     39.361
 15,                0.000,             1479.602,     41.251
 16,                0.000,             1571.468,     38.840
 17,                0.000,             1487.591,     41.030
 18,                0.000,             1488.072,     41.016
 19,                0.000,             1558.083,     39.173
 20,                0.000,             1471.319,     41.483
 21,                0.000,             1470.265,     41.513
 22,                0.000,             1594.923,     38.268
 23,                0.000,             1500.051,     40.689
 24,                0.000,             1547.639,     39.438
 25,                0.000,             1465.070,     41.660
 26,                0.000,             1465.705,     41.642
 27,                0.000,             1540.052,     39.632
 28,                0.000,             1480.811,     41.217
 29,                0.000,             1481.458,     41.199
 30,                0.000,             1532.288,     39.833
 31,                0.000,             1457.099,     41.888
 32,                0.000,             1541.986,     39.582

1448.879, 1594.923, 1508.165, 42.759, 2.835 %

Delta(min, max)   = 146.044
Delta(amean, min) = 59.286
Delta(amean, max) = 86.758


(cycles, CPIt, CPI):
  0,             3932.354,                0.480,                0.096
  1,             3931.300,                0.480,                0.096
  2,             4117.956,                0.503,                0.101
  3,             3868.178,                0.472,                0.094
  4,             4046.634,                0.494,                0.099
  5,             3863.404,                0.472,                0.094
  6,             3833.160,                0.468,                0.094
  7,             4188.208,                0.511,                0.102
  8,             3756.480,                0.459,                0.092
  9,             3756.310,                0.459,                0.092
 10,             4001.208,                0.488,                0.098
 11,             3874.224,                0.473,                0.095
 12,             4020.764,                0.491,                0.098
 13,             3829.798,                0.468,                0.094
 14,             3829.666,                0.467,                0.093
 15,             3967.170,                0.484,                0.097
 16,             3799.588,                0.464,                0.093
 17,             3800.288,                0.464,                0.093
 18,             3881.952,                0.474,                0.095
 19,             3768.500,                0.460,                0.092
 20,             3896.260,                0.476,                0.095
 21,             3765.416,                0.460,                0.092
 22,             3765.932,                0.460,                0.092
 23,             3890.832,                0.475,                0.095
 24,             3757.118,                0.459,                0.092
 25,             3756.378,                0.459,                0.092
 26,             3820.014,                0.466,                0.093
 27,             3700.104,                0.452,                0.090
 28,             3707.168,                0.453,                0.091
 29,             3840.916,                0.469,                0.094
 30,             3740.722,                0.457,                0.091
 31,             3860.900,                0.471,                0.094
 32,             3878.258,                0.473,                0.095

3700.104, 4188.208, 3862.035, 115.074, 2.980 %

Delta(min, max)   = 488.104
Delta(amean, min) = 161.931
Delta(amean, max) = 326.173
