(s, ns, GiB/s):
  0,                0.000,           366324.147,     10.997
  1,                0.000,           373356.257,     10.789
  2,                0.000,           372985.054,     10.800
  3,                0.000,           373025.569,     10.799
  4,                0.000,           371811.597,     10.834
  5,                0.000,           371037.206,     10.857
  6,                0.000,           370992.597,     10.858
  7,                0.000,           368248.805,     10.939
  8,                0.000,           369267.865,     10.909
  9,                0.000,           370916.978,     10.860
 10,                0.000,           367369.691,     10.965
 11,                0.000,           367847.795,     10.951
 12,                0.000,           367164.134,     10.971
 13,                0.000,           367656.726,     10.957
 14,                0.000,           365687.594,     11.016
 15,                0.000,           367986.616,     10.947
 16,                0.000,           367000.172,     10.976
 17,                0.000,           367719.543,     10.955
 18,                0.000,           369017.218,     10.916
 19,                0.000,           366655.131,     10.987
 20,                0.000,           366337.609,     10.996
 21,                0.000,           366692.208,     10.986
 22,                0.000,           368667.307,     10.927
 23,                0.000,           366001.466,     11.006
 24,                0.000,           366872.564,     10.980
 25,                0.000,           369345.430,     10.907
 26,                0.000,           372432.950,     10.816
 27,                0.000,           365509.910,     11.021
 28,                0.000,           366722.858,     10.985
 29,                0.000,           369813.622,     10.893
 30,                0.000,           366170.055,     11.001
 31,                0.000,           365543.931,     11.020
 32,                0.000,           369436.757,     10.904

365509.910, 373356.257, 368533.859, 2370.419, 0.643 %

Delta(min, max)   = 7846.347
Delta(amean, min) = 3023.949
Delta(amean, max) = 4822.398


(cycles, CPIt, CPI):
  0,           948056.332,                1.753,                0.351
  1,           954868.640,                1.766,                0.353
  2,           956059.882,                1.768,                0.354
  3,           957341.378,                1.771,                0.354
  4,           957795.412,                1.771,                0.354
  5,           945034.558,                1.748,                0.350
  6,           945500.488,                1.749,                0.350
  7,           947604.904,                1.753,                0.351
  8,           947125.630,                1.752,                0.350
  9,           948824.558,                1.755,                0.351
 10,           953357.782,                1.763,                0.353
 11,           953037.970,                1.763,                0.353
 12,           953317.248,                1.763,                0.353
 13,           960241.414,                1.776,                0.355
 14,           948908.456,                1.755,                0.351
 15,           947538.650,                1.753,                0.351
 16,           955790.126,                1.768,                0.354
 17,           955998.402,                1.768,                0.354
 18,           948990.968,                1.755,                0.351
 19,           949363.688,                1.756,                0.351
 20,           947870.264,                1.753,                0.351
 21,           949587.654,                1.756,                0.351
 22,           954160.806,                1.765,                0.353
 23,           949034.414,                1.755,                0.351
 24,           957700.748,                1.771,                0.354
 25,           947880.662,                1.753,                0.351
 26,           952358.846,                1.761,                0.352
 27,           955005.982,                1.766,                0.353
 28,           948985.278,                1.755,                0.351
 29,           952637.738,                1.762,                0.352
 30,           947725.186,                1.753,                0.351
 31,           956589.882,                1.769,                0.354
 32,           956017.842,                1.768,                0.354

945034.558, 960241.414, 951827.630, 4159.575, 0.437 %

Delta(min, max)   = 15206.856
Delta(amean, min) = 6793.072
Delta(amean, max) = 8413.784
