       triad_SSE_16B; 5; 1024.000, 1.000, 0.001; 136686.499; 140002.783; 137925.071; 137791.420;   0.607 %; 21.241; 1.901
       triad_SSE_32B; 10; 1024.000, 1.000, 0.001; 136573.481; 138989.824; 137510.566; 137410.858;   0.476 %; 21.305; 3.813
       triad_SSE_64B; 15; 1024.000, 1.000, 0.001; 136776.846; 142094.801; 138529.884; 138746.265;   0.919 %; 21.148; 7.569
       triad_AVX_32B; 6; 1024.000, 1.000, 0.001; 138269.734; 139332.551; 138609.447; 138550.805;   0.181 %; 21.136; 1.891
       triad_AVX_64B; 11; 1024.000, 1.000, 0.001; 145357.431; 146215.253; 145644.068; 145577.064;   0.151 %; 20.115; 3.600
      triad_AVX_128B; 16; 1024.000, 1.000, 0.001; 145445.855; 147739.500; 145773.413; 145692.280;   0.280 %; 20.098; 7.193
      triad_AVX_256B; 22; 1024.000, 1.000, 0.001; 145405.827; 158271.923; 146323.775; 145679.629;   1.677 %; 20.022; 14.332
